n_estimators,min_samples_split,max_features,accuracy,f1,roc_auc,pr_auc,matthews
100,2,5,0.9917865482274947,0.9831778201397946,0.9994494898519899,0.9982532160097995,0.977774975236572
200,2,5,0.9922927450564164,0.9842256533654168,0.9995032453015922,0.9984645310161305,0.9791497432159456
300,2,5,0.9921947714766252,0.9840261997059216,0.999530616670987,0.9985457616653755,0.9788847508948354
100,3,5,0.9918192060874251,0.9832525488885174,0.9994466078598654,0.9982105788088531,0.9778658797151583
200,3,5,0.9920641400369034,0.9837577702025265,0.9995101505691136,0.9984522017074446,0.9785305975179628
300,3,5,0.9921457846867294,0.9839297049881394,0.9995196204858061,0.9985410736509444,0.9787534099113959
100,4,5,0.9919824953870773,0.9835988910044426,0.9994686930584379,0.9984007861996389,0.9783125263911588
200,4,5,0.9920478111069382,0.9837303310727291,0.9994760480750424,0.9983932234991327,0.9784885246993378
300,4,5,0.9920641400369034,0.9837610264635124,0.99947388136386,0.9983882090038353,0.9785317364567622
50,22,5,0.9887330383239986,0.9768937110709263,0.9991997366303909,0.9976760211489291,0.9694887836018683
100,22,5,0.9889289854835812,0.9772955595740406,0.9992232531104452,0.9977514471753641,0.9700202091021763
150,22,5,0.9891086037131986,0.9776646686535178,0.9992550140308905,0.9978678242720237,0.9705076025905982
200,22,5,0.9891412615731291,0.9777301496935803,0.9992634909016076,0.9978856319323494,0.9705956705585811
300,22,5,0.9891739194330595,0.9778001004520341,0.9992680049432043,0.9979051955174225,0.9706852448485376
50,15,5,0.9899903659313205,0.9794880374769952,0.9992996241027385,0.9979362295996776,0.9729038150710801
100,15,5,0.9901209973710423,0.9797530203139119,0.9992996010755857,0.9979593811298242,0.9732569931805218
150,15,5,0.9902189709508336,0.9799578412018604,0.9993266306356773,0.9980563821373705,0.9735239432741339
200,15,5,0.9902352998807988,0.9799892919287914,0.9993496800962837,0.9980927085925537,0.9735675212279421
300,15,5,0.9903332734605901,0.980196694988961,0.9993502960726278,0.9980919821886545,0.9738353798753838
50,6,5,0.9913456671184337,0.982308565324788,0.9993920162367679,0.9982120877948961,0.9765941730267219
100,6,5,0.9912313646086772,0.9820479390231672,0.999440432984855,0.9983722732639679,0.9762730960375205
150,6,5,0.9913130092585033,0.9822085479232159,0.9994446512714548,0.9983677534242603,0.9764920351660327
200,6,5,0.9915089564180859,0.9826121848458503,0.9994504008637325,0.9983894024014894,0.9770237093493601
300,6,5,0.9915742721379468,0.9827517047733654,0.9994544147843489,0.9983931806052101,0.9772026052336841
50,18,5,0.9894678401724335,0.9784201545719161,0.9992619595959298,0.9978758677552821,0.9714885391244993
100,18,5,0.9896148005421205,0.9787191327042762,0.9992865453994038,0.9979380785831229,0.9718860524823979
150,18,5,0.9898270766316684,0.9791576059683517,0.9993252813884281,0.9979866206941687,0.9724627389371483
200,18,5,0.9898434055616335,0.9791875794686475,0.9993208875197865,0.9979843259588175,0.9725057078025656
300,18,5,0.9898434055616335,0.9791820068277662,0.999323067903341,0.9979922289386514,0.9725037476893914
50,8,5,0.9904639049003119,0.9804708400214018,0.9993836242786777,0.9981354488716495,0.974191793985905
100,8,5,0.9908557992194772,0.9812696501438223,0.9994165912462641,0.9982886783850344,0.9752523115166261
150,8,5,0.9912803513985728,0.9821404682274247,0.9994304413592261,0.9983387926165969,0.9764031608458239
200,8,5,0.9913130092585033,0.9822049772544822,0.9994312250020284,0.998361995387009,0.976490916736401
300,8,5,0.9913130092585033,0.9822061676366313,0.9994405164582849,0.9983989242512287,0.9764912818703692
50,10,5,0.990545549550138,0.9806373942413804,0.999351218597947,0.9978435570649501,0.9744127657802508
100,10,5,0.990627194199964,0.9808039596013645,0.999391370756884,0.9981305439027531,0.974633749599035
150,10,5,0.9907251677797554,0.9810046150759146,0.999419174604997,0.9982506645073201,0.9748992189657489
200,10,5,0.9909537727992684,0.9814765280192591,0.9994218910894586,0.9982688768759932,0.9755199684240901
