n_estimators,min_samples_split,max_features,criterion,accuracy,f1,roc_auc,pr_auc,matthews
50,4,1,gini,0.9996431533668962,0.9997567981490367,0.9999990593614632,0.9999996575003682,0.9990869406352789
100,4,1,gini,0.9996431533668962,0.999756794951852,0.9999993283193443,0.9999997562693538,0.9990869689952999
150,4,1,gini,0.9996335088632988,0.9997502202006127,0.9999993145144266,0.9999997513318821,0.9990623074548669
200,4,1,gini,0.9996335088632988,0.9997502267678029,0.9999993221309328,0.9999997540982909,0.9990622495969108
300,4,1,gini,0.9996527978704937,0.9997633696166588,0.999999388299332,0.9999997780605886,0.9991116317126439
50,8,1,gini,0.9994984858129352,0.9996581915704783,0.9999987056699484,0.9999995308880885,0.9987168751419773
100,8,1,gini,0.999614219856104,0.9997370773518431,0.9999990217549628,0.999999645231339,0.9990129229072314
150,8,1,gini,0.9996335088632988,0.9997502202006127,0.9999990603135265,0.9999996592345821,0.9990623074548669
200,8,1,gini,0.999614219856104,0.9997370738953817,0.9999990850671723,0.99999966825593,0.9990129541900726
300,8,1,gini,0.9996045753525066,0.9997305060570407,0.9999990769746342,0.9999996652511038,0.998988230691825
50,7,1,gini,0.9994888413093378,0.9996516252013015,0.9999986442618658,0.9999995084298381,0.9986921383254705
100,7,1,gini,0.9995852863453119,0.9997173600110427,0.9999989655832284,0.9999996248245282,0.9989388757200979
150,7,1,gini,0.9996431533668962,0.9997568013461374,0.9999991631363624,0.9999996963957534,0.9990869147074147
200,7,1,gini,0.999662442374091,0.9997699472193192,0.9999992545344388,0.9999997295780161,0.9991362708173128
300,7,1,gini,0.999662442374091,0.9997699472193192,0.9999992221642868,0.99999971788053,0.9991362708173128
50,5,1,gini,0.9996045753525066,0.9997305095997739,0.9999992523922964,0.9999997287441386,0.9989882024876185
100,5,1,gini,0.999662442374091,0.9997699381462273,0.9999993337937082,0.9999997582714439,0.9991363524830441
150,5,1,gini,0.9996720868776884,0.9997765128110745,0.9999994230496424,0.9999997906810242,0.9991610139844553
200,5,1,gini,0.999662442374091,0.9997699411706708,0.999999477793282,0.9999998105522934,0.9991363228290286
300,5,1,gini,0.9996817313812858,0.9997830873894896,0.9999994935023263,0.9999998162601499,0.9991856766627573
50,2,1,gini,0.9996335088632988,0.9997502267678029,0.9999991552818402,0.999999660921772,0.9990622495969108
100,2,1,gini,0.9996913758848832,0.9997896646465709,0.9999995437236651,0.9999998227696071,0.9992103162192836
